t,Original,Heun,Euler,Actual
0,5,5,5,5
0.1,4.8,4.81,4.81,4.80967483607192
0.2,4.62,4.63805,4.63805,4.63746150615596
0.3,4.458,4.48243525,4.48243525,4.48163644136344
0.4,4.3122,4.34160390125,4.34160390125,4.34064009207128
0.5,4.18098,4.21415153063125,4.21415153063125,4.21306131942527
0.6,4.062882,4.09880713522128,4.09880713522128,4.09762327218805
0.7,3.9565938,3.99442045737526,3.99442045737526,3.99317060758282
0.8,3.86093442,3.89995051392461,3.89995051392461,3.89865792823444
0.9,3.774840978,3.81445521510177,3.81445521510177,3.8131393194812
1,3.6973568802,3.7370819696671,3.7370819696671,3.73575888234288
